Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Oracle Corp,ORCL,Buy,Filled,0.64133,0.64133,217.97,217.97,DAY,12/05/2025 10:17:08 EST,12/05/2025 10:17:08 EST
Asml Holding,ASML,Buy,Filled,1,1,@1125.98,1125.98,DAY,12/05/2025 09:58:25 EST,12/05/2025 09:58:25 EST
Apple Inc,AAPL,Sell,Filled,2,2,@280.09,280.09,DAY,12/05/2025 09:56:29 EST,12/05/2025 09:56:29 EST
Mastercard Incorporated,MA,Sell,Filled,1,1,@548.08,548.08,DAY,12/05/2025 09:55:02 EST,12/05/2025 09:55:02 EST
Nvidia Corporation,NVDA,Buy,Filled,3,3,@182.01,182.01,DAY,12/05/2025 09:54:18 EST,12/05/2025 09:54:18 EST
Visa,V,Sell,Filled,2,2,@330.72,330.72,DAY,12/05/2025 09:50:40 EST,12/05/2025 09:50:40 EST
Broadcom Inc,AVGO,Buy,Filled,4,4,@386.46,386.46,DAY,12/05/2025 09:44:11 EST,12/05/2025 09:44:11 EST
Wahed FTSE USA Shariah ETF,HLAL,Sell,Filled,10,10,@62.88,62.88,DAY,12/05/2025 09:38:00 EST,12/05/2025 09:38:00 EST
Texas Instrument,TXN,Sell,Filled,2,2,@181.16,181.16,DAY,12/05/2025 06:40:28 EST,12/05/2025 09:30:00 EST
Alibaba Group Hldg Ltd,BABA,Sell,Filled,1,1,@159.15,159.15,GTC,12/05/2025 05:19:36 EST,12/05/2025 05:19:36 EST
Wahed FTSE USA Shariah ETF,HLAL,Buy,Filled,10,10,@62.54,62.54,DAY,12/04/2025 12:17:19 EST,12/04/2025 12:17:19 EST
Texas Instrument,TXN,Buy,Filled,2,2,@180.89,180.89,DAY,12/04/2025 09:52:26 EST,12/04/2025 09:52:28 EST
Mastercard Incorporated,MA,Buy,Filled,1,1,@551.47,551.47,DAY,12/04/2025 09:46:09 EST,12/04/2025 09:46:09 EST
Broadcom Inc,AVGO,Sell,Filled,1,1,@381.00,381.00,GTC,12/03/2025 22:07:44 EST,12/04/2025 09:46:03 EST
Adobe Inc,ADBE,Sell,Filled,2,2,@328.00,328.00,GTC,12/03/2025 22:07:24 EST,12/04/2025 09:20:09 EST
Roblox Corp,RBLX,Sell,Filled,1,1,@95.00,95.00,GTC,12/03/2025 22:05:30 EST,12/04/2025 12:13:42 EST
Nvidia Corporation,NVDA,Sell,Filled,2,2,@183.50,183.50,GTC,12/03/2025 22:03:38 EST,12/04/2025 11:49:00 EST
Adobe Inc,ADBE,Buy,Filled,2,2,@325.18,325.18,DAY,12/03/2025 13:52:01 EST,12/03/2025 13:52:01 EST
Broadcom Inc,AVGO,Buy,Filled,1,1,@376.53,376.53,DAY,12/03/2025 13:28:35 EST,12/03/2025 13:28:47 EST
Roblox Corp,RBLX,Buy,Filled,1,1,@92.97,92.97,DAY,12/03/2025 13:20:08 EST,12/03/2025 13:20:08 EST
Visa,V,Buy,Filled,2,2,@330.44,330.44,DAY,12/03/2025 11:34:18 EST,12/03/2025 11:34:18 EST
Texas Instrument,TXN,Sell,Filled,1,1,@179.14,179.14,DAY,12/03/2025 11:26:26 EST,12/03/2025 11:26:26 EST
Advanced Micro Devices Inc,AMD,Sell,Filled,1.23187,1.23187,@217.00,217.00,DAY,12/03/2025 11:19:42 EST,12/03/2025 13:41:57 EST
Taiwan Semi,TSM,Sell,Filled,3,3,293.75,293.75,DAY,12/03/2025 11:16:27 EST,12/03/2025 11:16:27 EST
Tesla Inc,TSLA,Sell,Filled,0.21117,0.21117,439.10,439.10,DAY,12/03/2025 11:16:05 EST,12/03/2025 11:16:05 EST
Oracle Corp,ORCL,Sell,Filled,2,2,@203.47,203.47,DAY,12/03/2025 11:15:35 EST,12/03/2025 11:15:36 EST
Nvidia Corporation,NVDA,Buy,Filled,1,1,@183.34,183.34,DAY,12/03/2025 09:00:47 EST,12/03/2025 09:00:55 EST
Grab Holdings Limited,GRAB,Sell,Filled,2,2,@5.29,5.29,DAY,12/03/2025 08:59:42 EST,12/03/2025 08:59:42 EST
Apple Inc,AAPL,Buy,Filled,2,2,@286.10,286.10,DAY,12/03/2025 08:58:27 EST,12/03/2025 08:58:27 EST
Alibaba Group Hldg Ltd,BABA,Buy,Filled,1,1,@158.39,158.39,DAY,12/03/2025 08:55:46 EST,12/03/2025 08:55:46 EST
Applovin Corp,APP,Sell,Filled,1,1,@658.51,658.51,DAY,12/03/2025 08:55:04 EST,12/03/2025 08:55:04 EST
Cypherpunk Technologies Inc,CYPH,Sell,Filled,1,1,@1.24,1.24,DAY,12/03/2025 08:54:01 EST,12/03/2025 08:54:01 EST
Applovin Corp,APP,Buy,Filled,1,1,@658.93,658.93,DAY,12/03/2025 08:52:20 EST,12/03/2025 08:52:20 EST
Cypherpunk Technologies Inc,CYPH,Buy,Filled,1,1,@1.27,1.27,DAY,12/03/2025 08:36:46 EST,12/03/2025 08:36:46 EST
Grab Holdings Limited,GRAB,Buy,Filled,2,2,@5.29,5.29,DAY,12/03/2025 07:49:52 EST,12/03/2025 07:49:52 EST
Advanced Micro Devices Inc,AMD,Buy,Filled,1,1,@217.29,217.29,DAY,12/03/2025 07:46:45 EST,12/03/2025 07:46:45 EST
Nvidia Corporation,NVDA,Buy,Filled,1,1,@183.30,183.30,DAY,12/03/2025 07:44:03 EST,12/03/2025 07:44:03 EST
Texas Instrument,TXN,Buy,Filled,1,1,@175.29,175.29,DAY,12/03/2025 06:16:49 EST,12/03/2025 06:16:49 EST
Tesla Inc,TSLA,Buy,Filled,0.21117,0.21117,426.18,426.18,DAY,12/02/2025 12:20:34 EST,12/02/2025 12:20:34 EST
Oracle Corp,ORCL,Buy,Filled,2,2,203.64,203.64,DAY,12/02/2025 12:01:48 EST,12/02/2025 12:01:48 EST
Advanced Micro Devices Inc,AMD,Buy,Filled,0.23187,0.23187,218.09,218.09,DAY,12/02/2025 11:42:31 EST,12/02/2025 11:42:31 EST
Taiwan Semi,TSM,Buy,Filled,3,3,290.75,290.75,DAY,12/02/2025 11:38:44 EST,12/02/2025 11:38:44 EST
Apple Inc,AAPL,Sell,Filled,1,1,285.26,285.26,DAY,12/02/2025 11:36:04 EST,12/02/2025 11:36:04 EST
Asml Holding,ASML,Sell,Filled,0.5,0.5,1090.62,1090.62,DAY,12/02/2025 11:35:50 EST,12/02/2025 11:35:50 EST
Nvidia Corporation,NVDA,Sell,Filled,0.49615,0.49615,180.11,180.11,DAY,12/02/2025 11:32:32 EST,12/02/2025 11:32:32 EST
Intel Corp,INTC,Sell,Filled,2,2,42.49,42.49,DAY,12/02/2025 11:27:31 EST,12/02/2025 11:27:31 EST
Intel Corp,INTC,Buy,Filled,2,2,43.26,43.26,DAY,12/02/2025 10:48:04 EST,12/02/2025 10:48:04 EST
Oracle Corp,ORCL,Sell,Filled,0.43482,0.43482,205.75,205.75,DAY,12/02/2025 10:46:53 EST,12/02/2025 10:46:53 EST
Oracle Corp,ORCL,Buy,Filled,0.43482,0.43482,207.03,207.03,DAY,12/02/2025 10:15:36 EST,12/02/2025 10:15:36 EST
Nvidia Corporation,NVDA,Buy,Filled,0.49615,0.49615,179.00,179.00,DAY,12/01/2025 14:51:24 EST,12/01/2025 14:51:24 EST
Asml Holding,ASML,Buy,Filled,0.5,0.5,1087.20,1087.20,DAY,12/01/2025 14:48:34 EST,12/01/2025 14:48:34 EST
Apple Inc,AAPL,Buy,Filled,1,1,@281.49,281.49,GTC,12/01/2025 14:44:08 EST,12/01/2025 14:46:50 EST
ORANGEKLOUD TECHNOLOGY INC,ORKT,Sell,Filled,1,1,1.02,1.02,DAY,12/01/2025 14:34:52 EST,12/01/2025 14:34:52 EST
Standard Lithium,SLI,Sell,Filled,1,1,4.29,4.29,DAY,12/01/2025 14:34:43 EST,12/01/2025 14:34:43 EST
Intel Corp,INTC,Sell,Filled,1,1,39.89,39.89,DAY,12/01/2025 14:34:36 EST,12/01/2025 14:34:36 EST
Grab Holdings Limited,GRAB,Sell,Filled,2,2,5.32,5.32,DAY,12/01/2025 14:34:28 EST,12/01/2025 14:34:29 EST
Advanced Micro Devices Inc,AMD,Sell,Filled,0.98713,0.98713,219.39,219.39,DAY,12/01/2025 14:34:18 EST,12/01/2025 14:34:18 EST
Apple Inc,AAPL,Sell,Filled,0.03578,0.03578,280.96,280.96,DAY,12/01/2025 14:33:44 EST,12/01/2025 14:33:44 EST
Alibaba Group Hldg Ltd,BABA,Sell,Filled,1,1,164.16,164.16,DAY,12/01/2025 14:33:33 EST,12/01/2025 14:33:33 EST
Nvidia Corporation,NVDA,Sell,Filled,1,1,178.65,178.65,DAY,12/01/2025 14:33:20 EST,12/01/2025 14:33:21 EST
Taiwan Semi,TSM,Sell,Filled,1,1,@288.73,288.73,GTC,12/01/2025 14:32:12 EST,12/01/2025 14:32:12 EST
Advanced Micro Devices Inc,AMD,Buy,Filled,0.98713,0.98713,220.44,220.44,DAY,12/01/2025 14:02:42 EST,12/01/2025 14:02:42 EST
ORANGEKLOUD TECHNOLOGY INC,ORKT,Buy,Filled,1,1,@1.07,1.07,DAY,11/28/2025 16:42:12 EST,11/28/2025 16:42:12 EST
Standard Lithium,SLI,Buy,Filled,1,1,@4.30,4.30,DAY,11/28/2025 16:38:03 EST,11/28/2025 16:38:03 EST
Grab Holdings Limited,GRAB,Buy,Filled,1,1,@5.48,5.48,DAY,11/28/2025 16:25:25 EST,11/28/2025 16:25:25 EST
Intel Corp,INTC,Buy,Filled,1,1,@40.74,40.74,DAY,11/28/2025 16:24:07 EST,11/28/2025 16:27:48 EST
Alibaba Group Hldg Ltd,BABA,Buy,Filled,1,1,@157.07,157.07,DAY,11/28/2025 16:22:47 EST,11/28/2025 16:54:02 EST
Nvidia Corporation,NVDA,Buy,Filled,1,1,@176.75,176.75,DAY,11/28/2025 16:19:50 EST,11/28/2025 16:19:50 EST
Grab Holdings Limited,GRAB,Buy,Filled,1,1,@5.46,5.46,DAY,11/28/2025 14:32:28 EST,11/28/2025 14:32:28 EST
Taiwan Semi,TSM,Buy,Filled,1,1,@291.53,291.53,DAY,11/28/2025 14:16:18 EST,11/28/2025 14:24:23 EST
Apple Inc,AAPL,Buy,Filled,0.03578,0.03578,279.48,279.48,DAY,11/26/2025 11:48:35 EST,11/26/2025 11:48:35 EST
